EmployeeId,LastName,FirstName,Title,BirthDate,HireDate,Address,City,State,Country,PostalCode,Phone,Fax,Email
1,Adams,Andrew,General Manager,1962-02-18 00:00:00,2002-08-14 00:00:00,11120 Jasper Ave NW,Edmonton,AB,Canada,T5K 2N1,+1 (780) 428-9482,+1 (780) 428-3457,andrew@chinookcorp.com
2,Edwards,Nancy,Sales Manager,1958-12-08 00:00:00,2002-05-01 00:00:00,825 8 Ave SW,Calgary,AB,Canada,T2P 2T3,+1 (403) 262-3443,+1 (403) 262-3322,nancy@chinookcorp.com
3,Peacock,Jane,Sales Support Agent,1973-08-29 00:00:00,2002-04-01 00:00:00,1111 6 Ave SW,Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,jane@chinookcorp.com
4,Park,Margaret,Sales Support Agent,1947-09-19 00:00:00,2003-05-03 00:00:00,683 10 Street SW,Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,margaret@chinookcorp.com
5,Johnson,Steve,Sales Support Agent,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,AB,Canada,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
6,Mitchell,Michael,IT Manager,1973-07-01 00:00:00,2003-10-17 00:00:00,5827 Bowness Road NW,Calgary,AB,Canada,T3B 0C5,+1 (403) 246-9887,+1 (403) 246-9899,michael@chinookcorp.com
7,King,Robert,IT Staff,1970-05-29 00:00:00,2004-01-02 00:00:00,590 Columbia Boulevard West,Lethbridge,AB,Canada,T1K 5N8,+1 (403) 456-9986,+1 (403) 456-8485,robert@chinookcorp.com
8,Callahan,Laura,IT Staff,1968-01-09 00:00:00,2004-03-04 00:00:00,923 7 ST NW,Lethbridge,AB,Canada,T1H 1Y8,+1 (403) 467-3351,+1 (403) 467-8772,laura@chinookcorp.com
AlbumId,Title
1,For Those About To Rock We Salute You
2,Balls to the Wall
3,Restless and Wild
4,Let There Be Rock
5,Big Ones
6,Jagged Little Pill
7,Facelift
8,Warner 25 Anos
9,Plays Metallica By Four Cellos
10,Audioslave
11,Out Of Exile
12,BackBeat Soundtrack
13,The Best Of Billy Cobham
14,Alcohol Fueled Brewtality Live! [Disc 1]
15,Alcohol Fueled Brewtality Live! [Disc 2]
16,Black Sabbath
17,Black Sabbath Vol. 4 (Remaster)
18,Body Count
19,Chemical Wedding
20,The Best Of Buddy Guy - The Millenium Collection
21,Prenda Minha
22,Sozinho Remix Ao Vivo
23,Minha Historia
24,Afrociberdelia
25,Da Lama Ao Caos
26,Acústico MTV [Live]
27,Cidade Negra - Hits
28,Na Pista
29,Axé Bahia 2001
30,BBC Sessions [Disc 1] [Live]
31,Bongo Fury
32,Carnaval 2001
33,Chill: Brazil (Disc 1)
34,Chill: Brazil (Disc 2)
35,Garage Inc. (Disc 1)
36,Greatest Hits II
37,Greatest Kiss
38,Heart of the Night
39,International Superhits
40,Into The Light
41,Meus Momentos
42,Minha História
43,MK III The Final Concerts [Disc 1]
44,Physical Graffiti [Disc 1]
45,Sambas De Enredo 2001
46,Supernatural
47,The Best of Ed Motta
48,The Essential Miles Davis [Disc 1]
49,The Essential Miles Davis [Disc 2]
50,The Final Concerts (Disc 2)
51,Up An' Atom
52,Vinícius De Moraes - Sem Limite
53,Vozes do MPB
54,Chronicle, Vol. 1
55,Chronicle, Vol. 2
56,Cássia Eller - Coleção Sem Limite [Disc 2]
57,Cássia Eller - Sem Limite [Disc 1]
58,Come Taste The Band
59,Deep Purple In Rock
60,Fireball
61,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
62,Machine Head
63,Purpendicular
64,Slaves And Masters
65,Stormbringer
66,The Battle Rages On
67,Vault: Def Leppard's Greatest Hits
68,Outbreak
